accuracy,condition,j_per_request,j_per_token,mean_latency_s,n_prompts,n_resamples,pct_16bit,pct_4bit,pct_8bit,total_energy_j
0.11,static_4bit,595.26,7.7784,7.426,500,,0.0,1.0,0.0,297632.0
0.186,static_8bit,1041.69,10.0703,12.02,500,,0.0,0.0,1.0,520846.6
0.162,static_16bit,788.0,7.9969,9.417,500,,1.0,0.0,0.0,393998.6
0.13,fuzzy_router,675.18,7.3097,8.131,500,,0.612,0.316,0.072,337591.1
0.148,random_matched,742.339,8.0775,8.9338,500.0,20,0.612,0.316,0.072,371169.225
0.116,threshold_router,719.11,8.4695,8.764,500,,0.002,0.754,0.244,359556.7
0.258,oracle,787.41,7.9668,9.39,500,,0.78,0.11,0.11,393705.3
0.258,oracle_cascade,2135.17,8.7673,25.477,500,,0.78,0.11,0.11,1067585.4
