accuracy,condition,j_per_request,j_per_token,mean_latency_s,n_prompts,n_resamples,pct_16bit,pct_4bit,pct_8bit,total_energy_j
0.11,static_4bit,137.73,1.7997,1.613,500,,0.0,1.0,0.0,68865.2
0.186,static_8bit,286.94,2.7739,3.531,500,,0.0,0.0,1.0,143469.9
0.162,static_16bit,1581.35,16.0482,20.113,500,,1.0,0.0,0.0,790676.4
0.13,fuzzy_router,1019.6,11.0384,12.924,500,,0.612,0.316,0.072,509797.5
0.148,random_matched,1034.5265,11.2564,13.1035,500.0,20,0.612,0.316,0.072,517263.275
0.116,threshold_router,175.23,2.0639,2.089,500,,0.002,0.754,0.244,87616.8
0.258,oracle,1268.92,12.8386,16.111,500,,0.78,0.11,0.11,634458.3
0.258,oracle_cascade,1607.3,6.5998,20.205,500,,0.78,0.11,0.11,803648.2
