accuracy,condition,j_per_request,j_per_token,mean_latency_s,n_prompts,n_resamples,pct_16bit,pct_4bit,pct_8bit,total_energy_j
0.11,static_4bit,125.08,1.6344,1.467,500,,0.0,1.0,0.0,62538.1
0.186,static_8bit,286.86,2.7731,3.539,500,,0.0,0.0,1.0,143428.8
0.162,static_16bit,1160.36,11.7757,13.505,500,,1.0,0.0,0.0,580178.1
0.13,fuzzy_router,750.58,8.126,8.751,500,,0.612,0.316,0.072,375289.6
0.148,random_matched,770.6265,8.3851,8.982,500.0,20,0.612,0.316,0.072,385312.49
0.116,threshold_router,163.5,1.9257,1.954,500,,0.002,0.754,0.244,81750.2
0.258,oracle,941.49,9.5258,10.977,500,,0.78,0.11,0.11,470744.0
0.258,oracle_cascade,1269.67,5.2134,14.964,500,,0.78,0.11,0.11,634834.8
